"LocalUserId","DateCreated","LastLogin"
"brendanduggan","2011-03-04",NULL
"brender","2012-01-13","2013-02-12"
"brentswallow","2013-01-30","2013-05-19"
"brentw","2010-11-08",NULL
"briancanada","2011-04-15",NULL
"brianlarkins","2011-01-31","2011-10-03"
"broyles","2011-09-05",NULL
"brycer","2009-09-14",NULL
"bryngelson","2012-09-08","2012-09-21"
"bschroe","2010-11-05","2012-05-31"
"bsoylu","2012-06-12","2012-06-14"
"bsweave","2012-03-06",NULL
"buml","2009-03-06",NULL
"burgdor","2012-10-31","2016-04-05"
"burleso","2012-07-02",NULL
"bvigar","2012-06-12","2013-10-24"
"bward3","2012-05-07","2016-03-22"
"bwf2","2011-08-15",NULL
"caljordan","2010-06-23",NULL
"calkin","2008-06-05","2015-11-11"
"campbwa","2012-09-19","2013-08-20"
"cannonc","2008-02-28",NULL
"carlosm","2008-07-22",NULL
"castant","2009-03-11","2012-05-18"
"castout","2012-05-10","2012-05-14"
"cbeauch","2009-03-06",NULL
"cbmarti","2013-01-17","2016-03-22"
"cbodens","2012-10-25","2016-12-13"
"cbuckle","2009-03-06",NULL
"ccarpio","2012-10-31","2013-01-08"
"ccastel","2012-10-31",NULL
"cchen","2012-01-12","2015-01-06"
"cchen3","2011-11-21","2013-06-12"
"cclimer","2009-02-18",NULL
"ccorsi","2011-01-21","2013-02-08"
"cczech","2010-12-02","2012-08-26"
"cewells","2011-07-20","2016-10-25"
"cfairch","2012-08-28","2013-01-22"
"cferrie","2009-08-20","2015-12-09"
"cfulghu","2010-11-26",NULL
"cgroper","2012-11-06","2014-11-20"
"changxx","2009-12-15","2012-11-05"
"chaorel","2013-01-16","2013-03-12"
"charlescritcher","2012-09-06","2012-12-06"
"charlieholman","2010-12-10",NULL
"chbaker","2011-09-28","2012-10-18"
"cheilig","2010-10-05",NULL
"chendij","2012-09-05","2015-09-12"
"chengjl","2012-01-25","2016-01-14"
"cherran","2008-09-10","2012-09-25"
"chil","2013-02-28","2013-04-24"
"chinthk","2010-07-19",NULL
"cholgui","2012-09-27","2015-05-07"
"chrisfragile","2011-06-06","2016-03-29"
"chrisj","2010-09-02",NULL
"chrismack","2011-02-22",NULL
"chuang","2009-08-17","2014-11-25"
"chuanli","2011-10-10","2016-06-08"
"citihub","2010-08-20","2012-03-01"
"clawsonhiram","2012-01-31","2015-10-01"
"clayf","2011-02-07",NULL
"clcox","2008-07-21","2013-09-16"
"clemsonyan","2008-06-05",NULL
"cliff","2012-03-01",NULL
"clt","2012-08-23","2012-12-10"
"cmalloy","2012-06-12","2013-04-28"
"cmegaw","2012-04-04","2013-03-28"
"cmsvo","2009-06-11",NULL
"cnlowe","2010-11-18","2015-11-19"
"condor","2008-05-12",NULL
"conover","2010-11-08",NULL
"coreyf","2007-12-15","2016-12-09"
"corwin","2010-12-11",NULL
"costrou","2010-11-10","2013-04-28"
"cp","2012-05-14",NULL
"cpark","2013-01-18","2013-04-15"
"crober7","2013-01-07","2013-04-24"
"cruprec","2009-11-21",NULL
"crystaj","2008-02-01","2013-11-25"
"csatter","2012-02-09","2014-11-30"
"cwallis","2012-08-29","2012-11-27"
"cycleeater","2008-06-05",NULL
"daburch","2013-01-07","2013-03-13"
"danielross","2011-12-20",NULL
"danilomorales","2011-08-31","2013-09-27"
"daryal","2010-01-15","2016-12-13"
"davidmaloney","2011-02-17",NULL
"daw","2009-05-21","2016-12-07"
"dbonnie","2008-10-15","2012-10-12"
"dbruce","2008-04-24",NULL
"dbruckn","2012-05-08","2014-04-21"
"dbusch","2011-01-19","2012-04-16"
"dcamero","2011-01-19",NULL
"dcbower","2010-11-10","2011-11-30"
"dchahal","2008-08-08",NULL
"dchawla","2011-01-20",NULL
"dcohen","2012-08-29","2012-12-11"
"ddickel","2009-05-21","2012-03-05"
"deander","2011-08-31","2015-05-14"
"dedmons","2012-08-29","2014-02-05"
"delphi","2010-12-24","2016-12-12"
"dennisnesbit","2012-09-05","2012-12-06"
"denokarapatakis","2012-02-23","2012-03-07"
"denton","2012-10-23","2016-12-09"
"desguer","2009-06-16","2013-08-21"
"desirec","2008-04-01",NULL
"dhananj","2010-12-10","2015-06-21"
"dharris","2011-02-01",NULL
"dherrho","2010-11-10",NULL
"dhouse","2011-06-23",NULL
"dierdre","2008-01-15","2015-08-03"
"diw","2011-09-08","2015-08-15"
"djain","2013-01-07","2015-02-11"
"djkerr","2012-08-29","2012-12-08"
"dkparma","2012-11-20","2015-11-20"
"dkulkar","2010-02-03","2016-09-02"
"dlewis3","2012-01-13",NULL
"dlinger","2012-01-13","2012-04-20"
"dmille7","2011-02-28","2014-02-20"
"dmwilso","2013-01-07","2015-01-22"
"dneal","2012-12-18","2012-12-20"
"dnoneak","2008-01-09","2012-05-07"
"dnugawe","2008-12-20","2016-11-10"
"doberkl","2011-03-09",NULL
"dominiquehamilton","2011-02-17",NULL
"dominy","2008-01-09","2012-09-27"
"don","2007-12-15",NULL
"donalds","2009-03-06",NULL
"dong4","2010-11-29","2015-04-23"
"dongmew","2012-02-22","2016-09-19"
"dorisward","2011-02-17",NULL
"dorothj","2008-02-28",NULL
"dperahi","2008-05-29","2016-12-09"
"dpuma","2011-08-02","2015-01-27"
"dreiche","2013-01-07","2013-04-23"
"dstein","2009-02-10","2012-04-27"
"dthanja","2012-10-08","2014-05-18"
"dtharve","2008-03-11",NULL
"dthorpe","2008-06-05",NULL
"duffy2","2010-08-12","2016-04-24"
"dvan","2011-01-27",NULL
"dvandenberg","2012-03-29","2012-04-25"
"dwang","2011-02-11","2016-05-24"
"dylanf","2008-07-22",NULL
"dzanzal","2012-10-31","2015-08-03"
"ealacam","2008-02-28",NULL
"ealexov","2010-08-25","2016-12-12"
"ebruck","2013-01-07","2013-04-24"
"edagnil","2011-04-06","2012-02-27"
"edimit","2011-02-11",NULL
"edoolit","2010-11-29",NULL
"eduffy","2008-01-02","2016-11-09"
"edumitr","2011-06-01","2012-01-18"
"efalwel","2010-02-01",NULL
"efickli","2012-11-06","2012-11-09"
"egaito","2012-08-29","2013-04-24"
"ehoshi","2013-01-15","2016-12-13"
"ekoontz","2012-03-05","2014-10-03"
"elaine","2008-02-18","2015-10-08"
"emah","2011-02-25",NULL
"emakela","2012-10-04","2014-07-20"
"ematth2","2011-08-30","2011-12-18"
"emurday","2009-02-02","2015-05-15"
"enander","2008-03-11",NULL
"engage","2009-01-14",NULL
"engelhardt","2011-04-26","2012-04-30"
"envs","2010-08-27",NULL
"eoware","2011-02-07","2014-05-15"
"erinfichot","2011-10-25",NULL
"eskogen","2012-12-03",NULL
"esrinad","2011-06-20","2015-10-09"
"esubram","2009-12-04",NULL
"ethanb","2013-01-07","2013-06-10"
"etollef","2009-08-18",NULL
"euank","2012-08-29","2013-11-21"
"eweill","2011-01-20","2016-11-04"
"ezekialshuler","2012-06-04","2013-04-19"
"eziaei","2011-05-26","2016-11-14"
"faltar","2009-05-27","2011-10-26"
"fangqil","2011-04-11","2014-08-18"
"fany","2009-08-18",NULL
"fblandi","2008-02-28","2016-06-16"
"fbrooks","2008-02-28",NULL
"fding","2012-08-15","2016-12-09"
"fengguvoor","2011-02-09",NULL
"ffeltus","2008-08-21","2016-12-09"
"fgliola","2009-04-03",NULL
"finou","2008-07-22",NULL
"flexlm","2008-06-09",NULL
"fmefleh","2011-06-03",NULL
"foulger","2008-11-05","2016-08-16"
"fpierce","2008-03-25",NULL
"fpolo","2012-02-09","2016-11-01"
"fwillia","2010-08-26",NULL
"gabpicone","2008-09-03",NULL
"galen","2010-05-26","2016-10-31"
"garaker","2010-03-30",NULL
"gargidayama","2011-10-25",NULL
"garrick","2007-12-15",NULL
"gauravs","2013-01-08","2013-01-08"
"gbedi","2012-06-25","2016-10-07"
"gcollie","2008-01-09","2014-02-03"
"gcsmith","2012-06-12","2015-08-11"
"geist","2013-01-18","2016-11-02"
"gemmill","2008-01-08","2014-02-24"
"geoffmorriss","2012-02-03","2012-02-03"
"georgerudolph","2010-01-26",NULL
"gfair","2012-08-29","2012-11-27"
"gfeng","2008-03-10",NULL
"gfeng2012","2012-03-21","2016-11-28"
"ggu","2011-11-16","2016-11-07"
"gguan","2011-01-21","2012-05-01"
"gilango","2012-09-28","2014-12-22"
"gillen2","2011-09-29","2012-07-27"
"glatz2","2012-11-02","2016-12-12"
"glehmac","2010-11-08","2016-08-10"
"gli","2009-01-14","2013-02-11"
"globus","2009-01-05",NULL
"glow","2009-01-05","2014-09-08"
"gmica","2011-03-10","2014-11-19"
"gmitchener","2012-05-09","2013-09-20"
"gnsteve","2012-12-11","2016-11-07"
"gonicescu","2011-02-17","2012-07-04"
"gphatak","2011-01-20",NULL
"gschwab","2009-03-06",NULL
"gstable","2011-08-25","2012-05-31"
"gthomps","2009-01-21",NULL
"guangyw","2012-01-11","2013-09-17"
"guangyy","2011-10-27","2016-06-16"
"guigen","2011-08-09","2012-11-27"
"guirl","2007-12-15","2014-05-03"
"guoliatclemson","2011-11-29","2011-11-29"
"guoxinl","2011-01-20","2015-04-13"
"gyanasr","2012-04-30","2012-05-14"
"hailanw","2010-10-12",NULL
"hailons","2011-09-29",NULL
"haiminz","2011-02-11","2014-10-03"
"haiyao","2011-02-25",NULL
"haiyongliu","2008-01-29","2016-10-20"
"halbala","2012-11-18","2013-01-08"
"hammont","2012-03-07","2012-07-07"
"harlanr","2008-02-04","2013-06-20"
"haroldmackey","2011-04-26",NULL
"hayeswwh1","2012-11-02","2013-09-26"
"hborhan","2010-04-05",NULL
"hccvo","2010-07-06",NULL
"hchandl","2010-10-28","2012-04-19"
"hdwived","2010-04-29",NULL
"hedetni","2011-06-07","2016-09-05"
"helpme","2011-09-05",NULL
"hhnguye","2008-04-24","2013-07-24"
"hightower","2012-12-26","2012-12-27"
"hilaryp","2012-01-25","2012-02-16"
"hkasisoma","2011-04-15",NULL
"hkeown","2009-01-02",NULL
"hodges8","2011-12-12","2011-12-19"
"hongyuj","2011-08-25","2013-08-09"
"hoskin","2008-02-20","2014-11-21"
"hosteen","2012-10-02","2012-11-19"
"hoytj","2009-03-06","2015-09-02"
"hpcguest01","2010-09-17","2016-11-09"
"hpcguest02","2010-09-17","2016-06-17"
"hpcguest03","2010-09-17","2016-06-17"
"hpcguest04","2010-09-17","2016-06-17"
"hpcguest05","2010-09-17","2016-06-16"
"hpcguest06","2010-09-17","2016-03-29"
"hpcguest07","2010-09-17","2016-03-30"
"hpcguest08","2010-09-17","2016-07-14"
"hpcguest09","2010-09-17","2015-10-09"
"hpcguest10","2010-09-17","2016-03-29"
"hpcguest11","2010-09-17","2015-10-05"
"hpcguest12","2010-09-17","2015-10-05"
"hpcguest13","2010-09-17","2016-06-17"
"hpcguest14","2010-09-17","2015-06-05"
"hpcguest15","2010-09-17","2015-10-05"
"hpcguest16","2010-09-17","2016-06-17"
"hpcguest17","2010-09-17","2015-06-05"
"hpcguest18","2010-09-17","2015-06-05"
"hpcguest19","2010-09-17","2015-06-05"
"hpcguest20","2010-09-17","2016-06-17"
"hpcguest21","2011-02-14","2016-08-30"
"hpcguest22","2011-02-14","2015-05-21"
"hpcguest23","2011-02-14","2014-08-30"
"hpcguest24","2011-02-14","2015-05-21"
"hpcguest25","2011-02-14","2015-01-23"
"hpcguest26","2011-02-14","2015-05-21"
"hpcguest27","2011-02-14","2014-08-30"
"hpcguest28","2011-02-14","2016-07-14"
"hpcguest29","2011-02-14","2015-05-22"
